forecast_id,origin_date,capture_time_utc,spot_date,horizon_days,due_date,model,spot,predicted_log_return,forecast_price,p_up,status,actual_price,actual_log_return,actual_up,source
2026-09-07::90::price_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,90,2026-12-06,price_ridge,79112.01,0.1577223803747647,92627.5928998901,0.6672131241021564,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::90::price_macro_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,90,2026-12-06,price_macro_ridge,79112.01,-0.1430820493389619,68565.03061976293,0.3474886307677893,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::90::primary_equal_weight_ensemble,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,90,2026-12-06,primary_equal_weight_ensemble,79112.01,0.0446288454034408,82722.65792018511,0.545391809683428,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-07::180::price_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,180,2027-03-06,price_ridge,79112.01,0.2822398975855459,104910.18403463754,0.70204497747267,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::180::price_macro_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,180,2027-03-06,price_macro_ridge,79112.01,0.1048525069344033,87857.58957266167,0.5780877591256863,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::180::primary_equal_weight_ensemble,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,180,2027-03-06,primary_equal_weight_ensemble,79112.01,0.1549690545663312,92372.90973154784,0.614292741601089,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-07::365::price_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,365,2027-09-07,price_ridge,79112.01,0.5023347781563287,130738.54308633626,0.7519929361437638,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::365::price_macro_ridge,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,365,2027-09-07,price_macro_ridge,79112.01,0.9384643814282104,202214.51265997608,0.8982826236650903,PENDING,,,,scheduled_frozen_shadow_v1
2026-09-07::365::primary_equal_weight_ensemble,2026-09-07,2026-09-08T13:41:37.434914+00:00,2026-09-07,365,2027-09-07,primary_equal_weight_ensemble,79112.01,0.2686813413626947,103497.35302424908,0.641005529095198,PENDING,,,,scheduled_primary_price_cycle_v2
2026-09-14::7::price_ridge,2026-09-14,2026-09-15T14:22:30.332058+00:00,2026-09-14,7,2026-09-21,price_ridge,78189.21,0.0022287363513213,78363.66747224847,0.5095699008451658,COMPLETE,86620.0,0.10239907729490945,1.0,scheduled_frozen_shadow_v1
