time,horizon,model,prediction,actual,anchor_price,target_price,forecast_id,publication_commit,anchor_source,target_source
2026-09-08 14:00:00+00:00,7,price_ridge,0.0043114255245915315,-0.017375081489578337,77961.66,76618.77,issued-v1::2026-09-07::7::price_ridge,4e18094709d77147ecd9a0a887a1bc1c4a6118cf,"{""params"": {""endTime"": 1788876059999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1788876000000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:24.378030+00:00"", ""source_sha256"": ""6ed7cc4386f3dbdd9bd6a70dc721e30761c8e43f2936dc7034c6275f94760a2a"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}","{""params"": {""endTime"": 1789480859999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1789480800000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:25.092198+00:00"", ""source_sha256"": ""9a63ee86538dd980bfacda24cd96673a857e8cb772d8840db26da73cfac59065"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}"
2026-09-08 14:00:00+00:00,7,price_macro_ridge,-0.01864005013502903,-0.017375081489578337,77961.66,76618.77,issued-v1::2026-09-07::7::price_macro_ridge,4e18094709d77147ecd9a0a887a1bc1c4a6118cf,"{""params"": {""endTime"": 1788876059999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1788876000000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:24.378030+00:00"", ""source_sha256"": ""6ed7cc4386f3dbdd9bd6a70dc721e30761c8e43f2936dc7034c6275f94760a2a"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}","{""params"": {""endTime"": 1789480859999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1789480800000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:25.092198+00:00"", ""source_sha256"": ""9a63ee86538dd980bfacda24cd96673a857e8cb772d8840db26da73cfac59065"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}"
2026-09-08 14:00:00+00:00,7,primary_equal_weight_ensemble,0.01607785527651317,-0.017375081489578337,77961.66,76618.77,issued-v1::2026-09-07::7::primary_equal_weight_ensemble,4e18094709d77147ecd9a0a887a1bc1c4a6118cf,"{""params"": {""endTime"": 1788876059999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1788876000000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:24.378030+00:00"", ""source_sha256"": ""6ed7cc4386f3dbdd9bd6a70dc721e30761c8e43f2936dc7034c6275f94760a2a"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}","{""params"": {""endTime"": 1789480859999, ""interval"": ""1m"", ""limit"": 1, ""startTime"": 1789480800000, ""symbol"": ""BTCUSDT""}, ""retrieved_at_utc"": ""2026-09-22T14:05:25.092198+00:00"", ""source_sha256"": ""9a63ee86538dd980bfacda24cd96673a857e8cb772d8840db26da73cfac59065"", ""url"": ""https://data-api.binance.vision/api/v3/klines""}"
