scope,horizon_days,model,n,directional_accuracy,mae_log_return,rmse_log_return,brier_up,origin_set_sha256,eligible_prospective_n
nonoverlap,7,price_macro_ridge,3,0.3333333333333333,0.052489462174824954,0.07441479393058299,0.2896953759459901,ac8d0b25e750b016fd7610d3604901d92a642cba93de793f679f550cf2c8ff11,0
nonoverlap,7,price_ridge,3,0.6666666666666666,0.03911878261109362,0.058574241017134376,0.2453195067206859,ac8d0b25e750b016fd7610d3604901d92a642cba93de793f679f550cf2c8ff11,0
weekly_overlap,7,price_macro_ridge,3,0.3333333333333333,0.052489462174824954,0.07441479393058299,0.2896953759459901,ac8d0b25e750b016fd7610d3604901d92a642cba93de793f679f550cf2c8ff11,0
weekly_overlap,7,price_ridge,3,0.6666666666666666,0.03911878261109362,0.058574241017134376,0.2453195067206859,ac8d0b25e750b016fd7610d3604901d92a642cba93de793f679f550cf2c8ff11,0
