horizon_days,model,n,mae,rmse,median_absolute_error,signed_bias,directional_accuracy,balanced_accuracy,ic,vol_normalized_mae,nonoverlap_n,origin_set_sha256,evaluation_class
7,price_ridge,1,0.021686507014169867,0.021686507014169867,0.021686507014169867,0.021686507014169867,0.0,,,,1,9833aea0457c288c04e53e4b1ffdd8d3acd30933d4ad1f2e48781d0b901fd1a7,PUBLISHED_BEFORE_FUTURE_ANCHOR
7,price_macro_ridge,1,0.0012649686454506946,0.0012649686454506946,0.0012649686454506946,-0.0012649686454506946,1.0,,,,1,9833aea0457c288c04e53e4b1ffdd8d3acd30933d4ad1f2e48781d0b901fd1a7,PUBLISHED_BEFORE_FUTURE_ANCHOR
